@relation vectores
@attribute Feature0 numeric
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute class {D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D12,D13,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99}
@data
0.100467,0.0767011,0.0280644,0.142594,0.0173176,0.0116679,0.0200197,0.115451,0.0283714,0.0134488,0.0155981,0.02352,0.0202039,0.0131417,0.0330386,0.159113,0.0459961,0.0623925,0.0120978,0.0384426,0.0124048,0.00939573,0.0168877,0.050479,0.107713,0.0361705,0.0188529,0.0620855,0.144006,0.0456276,0.161263,0.763019,D101
0.1028,0.077745,0.0281258,0.138295,0.0179931,0.0119749,0.0161508,0.118337,0.0249939,0.0130189,0.012589,0.0205723,0.0188529,0.0128347,0.0288013,0.164886,0.0460575,0.0597519,0.0128347,0.0369074,0.013633,0.00749202,0.014984,0.0475313,0.0965979,0.036846,0.0186686,0.0595063,0.139708,0.0417588,0.159789,0.805515,D101
0.0602432,0.0993613,0.0218005,0.190494,0.0124662,0.0116679,0.014677,0.136392,0.0189143,0.0120364,0.0102555,0.025915,0.0175018,0.0114223,0.0326701,0.174711,0.0435397,0.0529354,0.00976419,0.0381356,0.0113608,0.00724638,0.0169492,0.0558831,0.0876934,0.0353107,0.0226603,0.0662614,0.141918,0.0486367,0.212724,0.704004,D101
0.0733235,0.0961066,0.0238271,0.169492,0.0132031,0.00829035,0.014677,0.136146,0.0212479,0.0116065,0.00933432,0.0213707,0.0181159,0.00945714,0.033407,0.183247,0.0401621,0.0577868,0.0117293,0.0373373,0.0101941,0.00712356,0.0154139,0.0431712,0.0942029,0.0323631,0.0206952,0.0619627,0.14112,0.044645,0.204372,0.74042,D101
0.0905797,0.0912552,0.0291697,0.141857,0.0184844,0.0109924,0.0189143,0.124294,0.0288013,0.0138787,0.0116679,0.0258536,0.0216163,0.014677,0.0318718,0.16593,0.0521985,0.0649103,0.0131417,0.0389339,0.0127733,0.0102555,0.0163351,0.0514001,0.1028,0.035802,0.0226603,0.063805,0.137804,0.0450749,0.172378,0.725436,D101
0.0928519,0.0841931,0.0289241,0.130189,0.0189757,0.0116065,0.0175018,0.121837,0.0279415,0.0148612,0.0127733,0.025608,0.0235814,0.0133874,0.0325473,0.163903,0.0464259,0.0681651,0.0133874,0.0369688,0.0135716,0.0103783,0.0181774,0.0545935,0.104213,0.0343896,0.0213707,0.0662614,0.14505,0.0454434,0.177229,0.729243,D101
0.103721,0.0770695,0.0275117,0.131786,0.0184844,0.0113608,0.0156595,0.127426,0.0285556,0.0132031,0.0112994,0.0213707,0.021125,0.0140015,0.0316875,0.162245,0.0490052,0.0611643,0.0110538,0.0363547,0.012282,0.00884304,0.0160894,0.0506632,0.103107,0.0324859,0.0202653,0.0640506,0.136084,0.0459961,0.162982,0.778617,D101
0.0929133,0.0746745,0.0267747,0.126259,0.0184844,0.0105011,0.0170106,0.114837,0.0278187,0.013326,0.0106853,0.0233972,0.0195898,0.013326,0.0299681,0.168141,0.0506018,0.0559445,0.0107467,0.0375215,0.0103169,0.00743061,0.0158438,0.0510317,0.107775,0.0326087,0.0181774,0.057971,0.147077,0.0412675,0.170474,0.803058,D101
0.0646647,0.0993613,0.0233358,0.167588,0.0130189,0.0101941,0.0153525,0.130435,0.0203881,0.0127733,0.0100712,0.0246254,0.0180545,0.0108082,0.0322402,0.176247,0.0416974,0.0570499,0.011238,0.0394252,0.0114223,0.00804471,0.0181774,0.0463031,0.0964751,0.0331,0.0213093,0.0624539,0.157762,0.0448293,0.222181,0.704925,D101
0.100774,0.0730165,0.0265291,0.123434,0.0174404,0.011238,0.0195284,0.112872,0.0290469,0.0153525,0.0147998,0.0219848,0.0198354,0.013633,0.0324859,0.160648,0.0507246,0.0612257,0.0119135,0.0364161,0.0128347,0.00890445,0.0173176,0.0506018,0.116249,0.0345124,0.0206338,0.0625154,0.146524,0.0452592,0.161692,0.775608,D101
0.0981331,0.0763326,0.0184844,0.129084,0.0128961,0.0111152,0.019467,0.109617,0.0202653,0.0130803,0.00743061,0.0240727,0.0167649,0.0135102,0.0520142,0.136207,0.072341,0.0329157,0.0104397,0.0305822,0.0108082,0.00951855,0.0138172,0.065463,0.107959,0.0267747,0.0204495,0.0721567,0.111213,0.0650946,0.157824,0.83972,D102
0.120548,0.0852984,0.0210636,0.126505,0.0130803,0.0105625,0.0180545,0.096168,0.0199582,0.0104397,0.00822894,0.0218005,0.0167649,0.0130189,0.049435,0.12718,0.0698231,0.030705,0.00970278,0.0263449,0.00902727,0.00902727,0.0139401,0.0599975,0.111643,0.026959,0.0154139,0.0644191,0.111828,0.0579096,0.145235,0.88547,D102
0.107713,0.0888602,0.0246254,0.139769,0.0117907,0.00865881,0.0158438,0.102248,0.022169,0.013633,0.0100712,0.0205109,0.016028,0.0128961,0.052874,0.135839,0.0792803,0.0351265,0.0138172,0.0305208,0.0103783,0.0106239,0.0142471,0.0597519,0.119074,0.0348195,0.0251167,0.0695775,0.120855,0.060059,0.171272,0.767502,D102
0.115389,0.0858511,0.0222304,0.133321,0.0133874,0.00872022,0.0185458,0.10888,0.0232744,0.0132031,0.00822894,0.0187915,0.0163965,0.0114837,0.0561901,0.131786,0.0849914,0.0300909,0.0116679,0.0292926,0.0108082,0.00865881,0.0132646,0.0545321,0.121592,0.0323016,0.0222918,0.0655859,0.111336,0.057664,0.164272,0.801523,D102
0.104213,0.0748588,0.0208794,0.130619,0.0140629,0.0108696,0.0194056,0.114038,0.023213,0.0127733,0.0100712,0.0242569,0.0190985,0.0158438,0.0556374,0.134365,0.079096,0.029354,0.0126505,0.031749,0.0105011,0.0103783,0.0127119,0.0650332,0.110477,0.0303365,0.023213,0.0665684,0.108696,0.0636821,0.157455,0.809445,D102
0.105809,0.0769467,0.0204495,0.130619,0.0161508,0.0114223,0.0202653,0.112073,0.0265291,0.0145542,0.0102555,0.0237042,0.0196512,0.0157824,0.0560673,0.13369,0.0741832,0.0298452,0.0117293,0.0331614,0.0114223,0.011238,0.0136944,0.0661385,0.110415,0.0323016,0.0240727,0.0679808,0.0991771,0.0605502,0.148489,0.817182,D102
0.101695,0.0759027,0.0222918,0.134672,0.0145542,0.0103783,0.0203267,0.113731,0.020818,0.0128961,0.00902727,0.0259764,0.0192213,0.0162736,0.0566814,0.142778,0.0689634,0.0308278,0.0116065,0.0284942,0.0105011,0.0112994,0.0145542,0.0690248,0.101081,0.031012,0.0218005,0.0684107,0.118337,0.0623925,0.162798,0.797224,D102
0.105195,0.0833947,0.0212479,0.122451,0.0124048,0.0124662,0.0186072,0.108082,0.0244412,0.0116065,0.0114837,0.0242569,0.0194056,0.014984,0.0564972,0.140629,0.0734463,0.0360477,0.0119135,0.0321174,0.0116065,0.0106239,0.0171334,0.0609187,0.115389,0.029661,0.0207566,0.0666298,0.119135,0.0607345,0.154753,0.797531,D102
0.101326,0.0837018,0.0218619,0.132707,0.0128961,0.0116065,0.0184844,0.106669,0.0238271,0.0138787,0.00896586,0.0245026,0.0156595,0.0127733,0.0548391,0.13719,0.0728936,0.0303365,0.0115451,0.032056,0.0114837,0.0105011,0.0127119,0.0579096,0.110169,0.0305208,0.0213093,0.0668755,0.109003,0.0596905,0.17029,0.817367,D102
0.103107,0.0714812,0.019774,0.121469,0.0144313,0.010931,0.0176861,0.119381,0.0239499,0.0144313,0.00749202,0.024871,0.0163965,0.0141243,0.0542864,0.143822,0.0780521,0.034451,0.0108696,0.0295382,0.0112994,0.0106853,0.0144928,0.0657087,0.118644,0.0284328,0.0215549,0.0682879,0.112933,0.0637436,0.147568,0.811656,D102
0.0984402,0.124908,0.104397,0.227708,0.0114223,0.00558831,0.0163351,0.201732,0.0502334,0.00884304,0.00607959,0.0120364,0.0251781,0.00485139,0.0181774,0.132953,0.0477155,0.04704,0.00976419,0.0246868,0.00589536,0.00393024,0.00644805,0.0295996,0.181037,0.0302137,0.0106239,0.0255465,0.238025,0.0299681,0.187792,0.478384,D103
0.106853,0.113056,0.106608,0.217453,0.00902727,0.0055269,0.0142471,0.17379,0.046733,0.0111152,0.00546549,0.0135716,0.0200811,0.00792189,0.0180545,0.174957,0.0839474,0.053181,0.0106853,0.024871,0.00454434,0.00497421,0.00607959,0.033407,0.16378,0.0233972,0.0106853,0.0275117,0.214996,0.0308892,0.185458,0.482682,D103
0.100037,0.155429,0.0978261,0.237472,0.0106853,0.00509703,0.0138787,0.204986,0.0456276,0.00810612,0.00571113,0.0100712,0.020818,0.00515844,0.0223532,0.128408,0.0444608,0.0534881,0.0116679,0.0289855,0.00528126,0.0042987,0.00657087,0.0283714,0.164394,0.0351879,0.0154139,0.028617,0.219172,0.0319946,0.239315,0.416667,D103
0.10409,0.150946,0.0989929,0.210759,0.00841317,0.00583395,0.0135102,0.170228,0.0397937,0.00964137,0.00503562,0.0127119,0.0168263,0.00700074,0.024564,0.17901,0.078789,0.0543478,0.0119135,0.0266519,0.00515844,0.00478998,0.00724638,0.028617,0.144928,0.0297224,0.0146156,0.0290469,0.205048,0.0377671,0.238885,0.430668,D103
0.101081,0.182572,0.0743675,0.194485,0.00951855,0.00558831,0.0154139,0.204864,0.0493122,0.0108082,0.00663228,0.0129575,0.021125,0.00761484,0.02352,0.130803,0.0485753,0.0526898,0.0143085,0.0229673,0.00564972,0.00423729,0.0073692,0.0302137,0.176922,0.0294154,0.0137558,0.026959,0.18073,0.0301523,0.252272,0.458671,D103
0.102002,0.169553,0.0817981,0.191231,0.0111766,0.00601818,0.016028,0.19774,0.0479612,0.00915009,0.00644805,0.0143699,0.0205109,0.00577254,0.0229059,0.144068,0.0672439,0.0563744,0.0159052,0.0225375,0.0049128,0.00607959,0.00644805,0.0281872,0.160157,0.0313805,0.0158438,0.025608,0.182817,0.031749,0.250061,0.453513,D103
0.106178,0.192336,0.08014,0.17072,0.00878163,0.00693933,0.0141857,0.151437,0.0490666,0.0130189,0.00595677,0.0156595,0.017072,0.0067551,0.0186072,0.186932,0.0940187,0.0642962,0.0159052,0.0227217,0.00632523,0.00436011,0.00650946,0.0298452,0.13547,0.0214321,0.0174404,0.0251781,0.157271,0.0305822,0.253378,0.477033,D103
0.112564,0.115696,0.110477,0.209469,0.0132031,0.00540408,0.0169492,0.192029,0.0501719,0.00933432,0.00472857,0.0138787,0.0225989,0.00663228,0.0168877,0.150884,0.0680422,0.0521985,0.0105011,0.0229059,0.00564972,0.00374601,0.00540408,0.0297838,0.171334,0.0306436,0.0106853,0.0249324,0.234095,0.0301523,0.174097,0.480472,D103
0.100467,0.146401,0.093773,0.21125,0.00957996,0.00558831,0.0165807,0.193748,0.0394866,0.0100098,0.00509703,0.0132646,0.0211864,0.00558831,0.0239499,0.168939,0.0704986,0.0501719,0.0119749,0.0259764,0.00558831,0.00448293,0.00700074,0.0299067,0.166175,0.0323631,0.0156595,0.0277573,0.204618,0.0350651,0.233358,0.420044,D103
0.101142,0.126689,0.0999754,0.224392,0.0130189,0.00540408,0.0172562,0.206092,0.0519528,0.00835176,0.006141,0.012589,0.0246254,0.00515844,0.0188529,0.119565,0.0460575,0.0475927,0.0115451,0.0242569,0.00509703,0.00331614,0.0073692,0.0315033,0.186809,0.0321174,0.010931,0.0262835,0.233112,0.0332842,0.186134,0.478936,D103
0.123004,0.163719,0.0200811,0.242508,0.00718497,0.00779907,0.0173176,0.130496,0.0186686,0.006141,0.00663228,0.0133874,0.0155981,0.0102555,0.0662,0.166728,0.14941,0.0184844,0.00626382,0.0213093,0.00503562,0.00294768,0.00872022,0.0456276,0.232191,0.0205109,0.0158438,0.0294768,0.152112,0.0602432,0.205294,0.41636,D104
0.141489,0.154323,0.0218005,0.275055,0.00816753,0.00816753,0.0240727,0.160956,0.0179931,0.00405306,0.00558831,0.0121592,0.01873,0.0101941,0.0606116,0.108082,0.0896586,0.0127733,0.00528126,0.0223532,0.00626382,0.00264063,0.00743061,0.0549005,0.247175,0.019467,0.0151683,0.0311963,0.187239,0.0550233,0.200381,0.417158,D104
0.120364,0.124232,0.0162736,0.28224,0.00650946,0.00595677,0.0178089,0.147875,0.0151069,0.00509703,0.00571113,0.012282,0.0167035,0.0073692,0.0738762,0.20904,0.139339,0.0123434,0.00509703,0.0193441,0.00564972,0.00282486,0.00957996,0.0462417,0.193933,0.0194056,0.0143085,0.0294154,0.156595,0.066507,0.191108,0.427413,D104
0.120671,0.109801,0.0173176,0.331123,0.00872022,0.00528126,0.0251781,0.205601,0.0143699,0.00374601,0.0049128,0.010931,0.0185458,0.00571113,0.0682879,0.144928,0.0735691,0.0114837,0.00411447,0.0186686,0.00442152,0.00270204,0.00638664,0.0499263,0.22519,0.0175633,0.0124662,0.0289241,0.194915,0.0663842,0.18552,0.408192,D104
0.130128,0.177045,0.0211864,0.28789,0.0100712,0.00718497,0.0178703,0.123618,0.0168263,0.00626382,0.00773766,0.0151683,0.0160894,0.00908868,0.0664456,0.159543,0.128285,0.0127733,0.00773766,0.0216777,0.00939573,0.0036846,0.0109924,0.0506632,0.189327,0.0178089,0.0137558,0.0280029,0.143515,0.06141,0.220769,0.413596,D104
0.127549,0.152051,0.0218619,0.278801,0.00884304,0.00853599,0.0177475,0.146524,0.0190371,0.00657087,0.00822894,0.0138787,0.0181159,0.00878163,0.0670597,0.157885,0.124171,0.0155981,0.00644805,0.0219234,0.00743061,0.00417588,0.0101326,0.0514001,0.199644,0.0184844,0.0139401,0.0327315,0.153525,0.0604274,0.194792,0.429256,D104
0.134979,0.165009,0.024564,0.27874,0.0105625,0.00865881,0.0278187,0.16986,0.0199582,0.00571113,0.00773766,0.0140015,0.0163351,0.00884304,0.0630066,0.115082,0.0870179,0.00933432,0.00700074,0.0222918,0.00577254,0.00276345,0.00792189,0.0482682,0.222857,0.0163965,0.013326,0.0277573,0.149718,0.0552076,0.205294,0.453758,D104
0.1289,0.168632,0.0165807,0.262343,0.00712356,0.00792189,0.0174404,0.124662,0.016028,0.00558831,0.00509703,0.0127119,0.0148612,0.00847458,0.0655244,0.155797,0.138664,0.013326,0.00534267,0.0213093,0.00521985,0.00350037,0.00749202,0.0496807,0.224453,0.0203267,0.0138787,0.029661,0.159543,0.0598747,0.224945,0.410648,D104
0.11803,0.148674,0.0165807,0.314112,0.00724638,0.00583395,0.0178703,0.149472,0.0159052,0.00589536,0.0067551,0.0121592,0.0155367,0.00730779,0.0715426,0.178457,0.114468,0.0117293,0.00515844,0.0222918,0.00773766,0.0024564,0.00908868,0.0489437,0.18251,0.0155367,0.0118521,0.0290469,0.177229,0.0616556,0.211803,0.402665,D104
0.126873,0.160771,0.0200811,0.261484,0.00681651,0.00847458,0.0175633,0.127487,0.0179931,0.00503562,0.00663228,0.0137558,0.0164579,0.00994842,0.0680422,0.164333,0.148612,0.0176861,0.00706215,0.0231516,0.00571113,0.00374601,0.00939573,0.045382,0.212479,0.0189757,0.0151069,0.0289241,0.158254,0.0609801,0.201179,0.417158,D104
0.411754,0.0119749,0.0162736,0.0147998,0.00313191,0.00098256,0.00393024,0.123127,0.389401,0.0210022,0.0055269,0.00872022,0.012589,0.00939573,0.00239499,0.160096,0.142655,0.0118521,0.0183002,0.0112994,0.00571113,0.00356178,0.0162736,0.302198,0.111398,0.00706215,0.00196512,0.00196512,0.0290469,0.0124048,0.0127119,0.522046,D105
0.422623,0.0186072,0.0164579,0.0181774,0.00221076,0.00067551,0.0036846,0.114837,0.388909,0.019774,0.00485139,0.00669369,0.0186072,0.00939573,0.00386883,0.143147,0.132338,0.0140629,0.0195898,0.0109924,0.00460575,0.00257922,0.0148612,0.320314,0.104458,0.00755343,0.0018423,0.00147384,0.0350037,0.0120364,0.0156595,0.51566,D105
0.399103,0.0166421,0.0225375,0.0169492,0.00442152,0.00331614,0.00730779,0.131909,0.345001,0.0176247,0.00534267,0.00577254,0.0178089,0.0110538,0.0073692,0.152358,0.132768,0.0143085,0.0222304,0.0144928,0.00472857,0.00417588,0.0116065,0.271616,0.132768,0.0137558,0.00706215,0.00896586,0.0304593,0.024871,0.0198968,0.527327,D105
0.425018,0.0236428,0.0319332,0.0210636,0.00571113,0.00264063,0.00994842,0.111459,0.351019,0.023213,0.0067551,0.00841317,0.0241955,0.0119135,0.00761484,0.119688,0.104151,0.0179931,0.0218005,0.0189143,0.00607959,0.00380742,0.0141857,0.292066,0.107775,0.0114837,0.00442152,0.00534267,0.0384426,0.0227831,0.0220462,0.530029,D105
0.413658,0.010931,0.0175018,0.019774,0.00104397,0.00079833,0.00497421,0.113731,0.361766,0.0233972,0.00442152,0.00779907,0.0115451,0.0117907,0.00380742,0.17772,0.15592,0.00945714,0.0194056,0.0105011,0.00589536,0.00503562,0.0181159,0.271862,0.112872,0.00835176,0.00233358,0.00343896,0.0308278,0.0157824,0.0160894,0.535004,D105
0.414087,0.0143699,0.0168263,0.0202039,0.00227217,0.00135102,0.00436011,0.11238,0.358818,0.0246254,0.00558831,0.00933432,0.0140629,0.00933432,0.00466716,0.171088,0.143024,0.00957996,0.0184844,0.013633,0.00841317,0.00620241,0.0193441,0.274625,0.109187,0.00945714,0.00325473,0.00300909,0.0330386,0.0170106,0.0221076,0.53181,D105
0.419921,0.0171948,0.0204495,0.0193441,0.00454434,0.00313191,0.00724638,0.128408,0.36846,0.0154753,0.00497421,0.00478998,0.0198968,0.00970278,0.00816753,0.137681,0.108143,0.0120364,0.0180545,0.0172562,0.0042987,0.00300909,0.0116065,0.290224,0.123741,0.0131417,0.00534267,0.0055269,0.0291083,0.0160894,0.0176861,0.540899,D105
0.420044,0.0139401,0.0155367,0.0142471,0.00282486,0.00214935,0.0030705,0.114714,0.393638,0.0213707,0.00546549,0.00865881,0.0161508,0.0100098,0.00380742,0.150086,0.134672,0.0130803,0.0213093,0.0108082,0.00460575,0.00356178,0.0159052,0.3127,0.101449,0.00718497,0.00282486,0.00227217,0.0294768,0.0130803,0.014677,0.52223,D105
0.401191,0.0171948,0.0260992,0.0202653,0.00521985,0.00423729,0.00792189,0.113179,0.337755,0.0238885,0.00767625,0.0107467,0.019774,0.0136944,0.00743061,0.145972,0.133382,0.0164579,0.0238271,0.0165193,0.00841317,0.00681651,0.0196512,0.25958,0.109985,0.0135716,0.00743061,0.00939573,0.0339597,0.0264063,0.0262221,0.531688,D105
0.413535,0.0128961,0.0170106,0.017072,0.00264063,0.00110538,0.00411447,0.121162,0.385532,0.0200197,0.00644805,0.00816753,0.0125276,0.0104397,0.00264063,0.157148,0.144682,0.0120978,0.0179317,0.00939573,0.00540408,0.00356178,0.0176247,0.303795,0.112503,0.00706215,0.00159666,0.00171948,0.0292311,0.0124662,0.0138787,0.520142,D105
0.388725,0.0101326,0.012589,0.0216777,0.00319332,0.0036846,0.0111766,0.13805,0.399718,0.00896586,0.0042987,0.00386883,0.0168263,0.019467,0.0163965,0.13068,0.110354,0.00448293,0.00743061,0.016028,0.00067551,0.00153525,0.00718497,0.35016,0.176676,0.00804471,0.00178089,0.00313191,0.010931,0.0160894,0.0107467,0.49085,D106
0.43988,0.0100098,0.0145542,0.0287399,0.00178089,0.00288627,0.0106853,0.115144,0.379514,0.00872022,0.00264063,0.00288627,0.0135102,0.0222918,0.014677,0.126934,0.102493,0.00564972,0.00902727,0.0186686,0.00227217,0.00478998,0.0119135,0.34408,0.147937,0.00681651,0.00313191,0.00393024,0.0140629,0.0195284,0.0186686,0.497728,D106
0.422685,0.0121592,0.015721,0.0203267,0.00865881,0.00620241,0.0150454,0.122513,0.391673,0.00939573,0.0055269,0.00515844,0.0214321,0.0189757,0.0163965,0.0895357,0.082228,0.00773766,0.00773766,0.0225375,0.00196512,0.00251781,0.0108696,0.351634,0.15985,0.0128961,0.00300909,0.010931,0.0120364,0.0216777,0.0157824,0.500737,D106
0.439388,0.01873,0.0184844,0.0361091,0.0055269,0.00589536,0.0120364,0.0932817,0.357959,0.0176861,0.00706215,0.00896586,0.0163965,0.0234586,0.0192827,0.11631,0.0934046,0.00564972,0.0127119,0.0217391,0.00564972,0.00626382,0.0183616,0.330447,0.12153,0.00829035,0.00460575,0.00657087,0.01873,0.0244412,0.0236428,0.506939,D106
0.354336,0.0119749,0.0176861,0.0224146,0.00509703,0.00472857,0.0154139,0.146893,0.391918,0.00902727,0.00700074,0.00405306,0.0191599,0.021125,0.0145542,0.123864,0.105748,0.00644805,0.00915009,0.0203881,0.00135102,0.00153525,0.0067551,0.328482,0.194977,0.0114223,0.00393024,0.00700074,0.013633,0.0213707,0.0152297,0.488885,D106
0.379207,0.0181159,0.0226603,0.0327929,0.00300909,0.00700074,0.0103169,0.128715,0.348931,0.016028,0.00957996,0.00657087,0.0180545,0.0242569,0.0148612,0.143331,0.131724,0.00448293,0.0146156,0.017379,0.00276345,0.00343896,0.0161508,0.310796,0.158561,0.00743061,0.00288627,0.00454434,0.0189757,0.0260992,0.0176247,0.484648,D106
0.39026,0.0175018,0.0196512,0.0274503,0.00294768,0.00405306,0.00878163,0.120118,0.364898,0.0167649,0.00724638,0.00638664,0.0186686,0.0246868,0.0165807,0.137497,0.125215,0.00583395,0.0135716,0.0189757,0.00251781,0.00270204,0.0168877,0.320499,0.149165,0.00816753,0.00288627,0.00423729,0.0195898,0.0245026,0.0171948,0.490113,D106
