@relation vectores
@attribute Feature0 numeric
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute Feature32 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature35 numeric
@attribute Feature36 numeric
@attribute Feature37 numeric
@attribute Feature38 numeric
@attribute Feature39 numeric
@attribute Feature40 numeric
@attribute Feature41 numeric
@attribute Feature42 numeric
@attribute Feature43 numeric
@attribute Feature44 numeric
@attribute Feature45 numeric
@attribute Feature46 numeric
@attribute Feature47 numeric
@attribute Feature48 numeric
@attribute Feature49 numeric
@attribute Feature50 numeric
@attribute Feature51 numeric
@attribute Feature52 numeric
@attribute Feature53 numeric
@attribute Feature54 numeric
@attribute Feature55 numeric
@attribute Feature56 numeric
@attribute Feature57 numeric
@attribute Feature58 numeric
@attribute Feature59 numeric
@attribute Feature60 numeric
@attribute Feature61 numeric
@attribute Feature62 numeric
@attribute Feature63 numeric
@attribute Feature64 numeric
@attribute Feature65 numeric
@attribute Feature66 numeric
@attribute Feature67 numeric
@attribute Feature68 numeric
@attribute Feature69 numeric
@attribute Feature70 numeric
@attribute Feature71 numeric
@attribute class {D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D12,D13,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99}
@data
0.0822092,0.0663274,0.0506189,0.0320694,0.0365993,0.0315022,0.0741043,0.0560372,0.0385851,0.0291075,0.0554079,0.0326344,0.45047,0.0680759,0.0304566,0.0188293,0.0362922,0.0221601,0.496726,0.0547221,0.0397606,0.0267582,0.0324481,0.0187273,0.181486,0.0534309,0.135586,0.0343815,0.100347,0.031242,0.129753,0.0413265,0.110194,0.0362591,0.131057,0.0388951,0.0786524,0.0414822,0.0470155,0.0243985,0.0423972,0.0220481,0.0681166,0.0404025,0.0453564,0.0231254,0.0467678,0.0243441,0.0157922,0.013786,0.0147821,0.0109148,0.0147376,0.0109954,0.0143427,0.013055,0.0155487,0.0110717,0.017069,0.0121835,0.00305705,0.00438158,0.00244302,0.00298306,0.00239395,0.00290467,0.00294946,0.00426082,0.00253899,0.00302418,0.00276104,0.00343887,D101
0.0728415,0.052983,0.0460067,0.0269035,0.0367322,0.0166387,0.0703075,0.0408194,0.0355905,0.0174492,0.0492717,0.0267077,0.435326,0.0833492,0.0308291,0.0182968,0.0291839,0.0205843,0.490524,0.0539167,0.0336442,0.0211912,0.0282286,0.0157255,0.178043,0.0569493,0.141935,0.0331738,0.0914783,0.034533,0.129592,0.0380427,0.112926,0.0409066,0.133557,0.0393211,0.0816022,0.0394604,0.0463103,0.0242364,0.0396072,0.0207652,0.0663287,0.0368439,0.0443856,0.0232239,0.0443247,0.0238333,0.01609,0.0134893,0.0145878,0.0107386,0.0145168,0.0107389,0.0139917,0.0122406,0.0151462,0.0111192,0.0165905,0.0120421,0.00306913,0.00442508,0.00238652,0.00295635,0.00231891,0.00286335,0.00290288,0.00429616,0.00246424,0.0029961,0.00262493,0.00331643,D101
0.0524485,0.0403386,0.0474003,0.0265813,0.0679392,0.0524697,0.135836,0.0752456,0.0674792,0.0524607,0.0489297,0.0273487,0.447176,0.0822913,0.0463543,0.040142,0.0364807,0.0273722,0.556366,0.0503037,0.0367312,0.0280992,0.035084,0.0334646,0.187143,0.0513395,0.15142,0.032152,0.0856996,0.028119,0.148561,0.0604398,0.0978382,0.029528,0.142944,0.0362091,0.0842123,0.0393529,0.0546942,0.0268442,0.0372194,0.020106,0.0683338,0.0404817,0.0394153,0.0206077,0.0514782,0.026606,0.0163058,0.0142585,0.015418,0.0114956,0.0136451,0.0100846,0.0124535,0.0105203,0.01331,0.0096272,0.0162458,0.0119583,0.00324153,0.00480268,0.00255416,0.00322858,0.00226802,0.00278234,0.00269738,0.00390577,0.00230231,0.00274958,0.00270603,0.00345923,D101
0.08612,0.0762689,0.0527632,0.041077,0.0566671,0.0424418,0.115553,0.0592054,0.0579371,0.0436138,0.0548907,0.0421498,0.473349,0.0829417,0.0368222,0.0238556,0.0425946,0.0325815,0.573404,0.07733,0.0414036,0.0333724,0.0449938,0.0329647,0.169166,0.0447277,0.144568,0.0317045,0.10052,0.03024,0.15543,0.0631995,0.0936029,0.0308012,0.138596,0.0316439,0.0806239,0.0414087,0.0497774,0.0254961,0.0400414,0.0213216,0.06839,0.0394716,0.0386721,0.0205728,0.0491823,0.0248351,0.0155757,0.0139293,0.0155328,0.0114996,0.0145214,0.0107508,0.0138538,0.0116733,0.0136934,0.00977177,0.0154352,0.0117046,0.00291636,0.00428506,0.00250897,0.00315581,0.00237752,0.00291856,0.00293019,0.00422912,0.00229598,0.00277753,0.00249481,0.00330201,D101
0.0404042,0.0201324,0.0418368,0.0200495,0.0449148,0.0306143,0.0703624,0.0471116,0.0479833,0.0288108,0.0451473,0.0214604,0.42018,0.0576571,0.0259437,0.0158309,0.023358,0.0126392,0.419622,0.107489,0.0264435,0.0134952,0.0252696,0.0186473,0.185366,0.0547061,0.126788,0.0386084,0.113162,0.0337777,0.168261,0.0509774,0.119144,0.0325043,0.118865,0.0395412,0.0806205,0.0408305,0.0484086,0.0246983,0.0414465,0.0222621,0.0743716,0.0387638,0.0436028,0.0232981,0.0466149,0.0244658,0.0148614,0.0133166,0.0151524,0.01092,0.0159003,0.0114253,0.0151072,0.0132929,0.0156432,0.0111027,0.016206,0.0116578,0.00299143,0.00441052,0.00249221,0.00301644,0.00255402,0.00308684,0.00327458,0.00472866,0.00252776,0.00296966,0.00259923,0.00325458,D101
0.0916855,0.072915,0.0532774,0.0396264,0.0411226,0.028645,0.0717275,0.0426077,0.0435204,0.0312058,0.0535341,0.0391879,0.446541,0.0590596,0.0314884,0.0213124,0.02988,0.0218148,0.415184,0.104528,0.030873,0.0192903,0.0375734,0.0242466,0.178527,0.0639823,0.118915,0.0382058,0.118561,0.0357678,0.161429,0.0455413,0.126099,0.0371909,0.115327,0.0366104,0.0783797,0.0444672,0.0456994,0.0235945,0.0461814,0.0242534,0.0673633,0.0368858,0.0485981,0.0250993,0.0455126,0.0236468,0.0149988,0.0131078,0.0150414,0.0107738,0.0153805,0.0112888,0.0147865,0.0127533,0.0153771,0.0109863,0.0160921,0.0117132,0.0028682,0.00408593,0.00248141,0.00301073,0.00254512,0.00309061,0.0030763,0.00440286,0.00255357,0.00304143,0.00262073,0.00329534,D101
0.0995098,0.0740391,0.0602921,0.0357513,0.0489194,0.0320504,0.0721138,0.0523797,0.0491618,0.033849,0.0611671,0.0338593,0.442574,0.0979007,0.0323084,0.0212228,0.0344673,0.0225939,0.428416,0.11351,0.0339682,0.0241669,0.0350829,0.0235032,0.173824,0.0572347,0.123759,0.0388382,0.121342,0.0333713,0.173429,0.0525633,0.130828,0.0323019,0.117855,0.0403064,0.0755216,0.0419567,0.0486715,0.0249492,0.0413671,0.0216522,0.072833,0.0379339,0.0435993,0.0225496,0.0476365,0.0244653,0.0152016,0.0128816,0.0153011,0.0109715,0.0159106,0.0113441,0.0143839,0.0124157,0.0161648,0.0113372,0.0164769,0.0119063,0.00287068,0.00412743,0.00251128,0.00303364,0.00252429,0.00308727,0.0030362,0.0042988,0.00254937,0.00305066,0.00264209,0.00330803,D101
0.0508428,0.0362779,0.0438071,0.0247929,0.0399028,0.019941,0.0767292,0.0463389,0.0397318,0.0212973,0.0453316,0.0240495,0.427262,0.0890918,0.0366364,0.0225753,0.0306641,0.0196081,0.521339,0.05001,0.0310164,0.0195219,0.0334284,0.0198205,0.186111,0.0614985,0.146541,0.0319541,0.0951588,0.0355184,0.141916,0.0378181,0.112827,0.037834,0.136404,0.0386699,0.0790655,0.0412907,0.044815,0.0241644,0.0419841,0.0217392,0.0671899,0.0374731,0.0458082,0.0236406,0.0436148,0.0241807,0.0146695,0.012641,0.0140753,0.0103201,0.0147698,0.0110296,0.0144022,0.0130947,0.0154076,0.0112573,0.0158686,0.0114167,0.00289825,0.0043172,0.00235551,0.00291391,0.00243565,0.00302804,0.00296681,0.00440696,0.00255572,0.00312366,0.00259381,0.00325255,D101
0.0654501,0.0395869,0.0442194,0.0266106,0.0437077,0.0302299,0.0942719,0.0434281,0.0445796,0.0308611,0.0443053,0.0251177,0.416073,0.100622,0.0422261,0.0309894,0.0388926,0.0255211,0.493519,0.097461,0.0397293,0.0251885,0.0337695,0.0277169,0.190473,0.0559561,0.147631,0.0366096,0.100426,0.036533,0.147587,0.058485,0.0962522,0.0355006,0.141471,0.0368721,0.0891919,0.0409162,0.0497797,0.0261246,0.0409204,0.0224769,0.0720557,0.0403513,0.0399449,0.0223024,0.0492006,0.02532,0.0166391,0.013896,0.0159937,0.0113748,0.0148532,0.0106706,0.0142497,0.0119108,0.0142079,0.00972972,0.0162016,0.0117194,0.00324175,0.0046625,0.00261122,0.00322182,0.00239098,0.0028932,0.00288402,0.0040871,0.00233321,0.00272168,0.0026811,0.00342096,D101
0.0611384,0.0506642,0.0420407,0.0282295,0.0505467,0.0401774,0.0845384,0.0781138,0.0542667,0.0416657,0.0459153,0.028928,0.400818,0.0846052,0.0328911,0.0231308,0.0296965,0.0199696,0.453883,0.0699328,0.0320919,0.0242078,0.0349439,0.0268827,0.168949,0.0577563,0.125211,0.0329917,0.103445,0.0333073,0.150535,0.047395,0.116473,0.0369653,0.125795,0.036523,0.0760407,0.0420294,0.0470652,0.0240224,0.0431534,0.0224217,0.0709274,0.0398238,0.0471887,0.0240688,0.0465694,0.0239189,0.013932,0.0123714,0.0140914,0.0103509,0.0151111,0.0111239,0.0150826,0.0138083,0.0158322,0.0113481,0.0162352,0.0116236,0.0029044,0.00419727,0.00238266,0.00292293,0.00244224,0.00294792,0.00309182,0.00443395,0.00259409,0.00308221,0.0026554,0.00332811,D101
0.0783912,0.0728334,0.048899,0.0371221,0.0465215,0.0357338,0.0878486,0.0689507,0.0465964,0.0338689,0.0522342,0.0406427,0.48728,0.0734777,0.0334268,0.0275057,0.0357514,0.027747,0.489322,0.0589294,0.0416623,0.0293111,0.0359937,0.0272931,0.180034,0.0615315,0.129057,0.0344512,0.117359,0.0342748,0.143259,0.0429517,0.116988,0.0363603,0.142005,0.0354916,0.0735164,0.039903,0.0431109,0.0233327,0.0457705,0.0235869,0.0626463,0.0369985,0.0449046,0.0236324,0.0475386,0.0254765,0.0153307,0.0131946,0.0144354,0.0104401,0.0145166,0.0112234,0.0136458,0.0125958,0.0154242,0.0111286,0.0165475,0.0120983,0.00297128,0.00444958,0.00234982,0.00293165,0.0023748,0.00308918,0.0028497,0.00431556,0.00249313,0.00308298,0.00270385,0.00354326,D102
0.106922,0.0756967,0.0647114,0.0333145,0.0431472,0.0320211,0.0686509,0.0584457,0.0429038,0.034003,0.0644078,0.0329082,0.48139,0.0531171,0.0342097,0.0236836,0.0414643,0.0246528,0.43694,0.054599,0.0446649,0.0293656,0.0346488,0.0240194,0.186156,0.062791,0.130867,0.0321823,0.117713,0.0305182,0.144581,0.0438309,0.124573,0.0330221,0.136184,0.0354319,0.0769049,0.0374465,0.0446315,0.0239785,0.0404677,0.0217137,0.0633826,0.034379,0.0417761,0.0229126,0.0464611,0.0248866,0.0165462,0.0134027,0.0152967,0.010645,0.014402,0.0104676,0.0132409,0.0113872,0.0151354,0.0106472,0.0170747,0.0121615,0.00310019,0.00462787,0.00238654,0.00298084,0.00233927,0.0030456,0.00281007,0.00421978,0.00241744,0.00298923,0.00263536,0.00344248,D102
0.0782386,0.0706094,0.0487516,0.037748,0.026063,0.0117684,0.0594401,0.0289776,0.0227175,0.0112022,0.0502266,0.0381603,0.46887,0.0481878,0.0262731,0.0178329,0.0338216,0.0304829,0.499314,0.0503282,0.0356684,0.0308845,0.0238148,0.0177123,0.162945,0.0490236,0.13719,0.0328523,0.112529,0.0368372,0.146978,0.0593313,0.107512,0.0333895,0.139564,0.0342043,0.0810444,0.0382044,0.0485857,0.0254446,0.0416991,0.0220852,0.0691743,0.0378491,0.0403961,0.0215029,0.0487514,0.0256801,0.0159921,0.0133465,0.0154159,0.0110421,0.0138765,0.0102134,0.0129471,0.0108112,0.013469,0.00953015,0.0157362,0.0116121,0.00306455,0.00456757,0.00240692,0.00303905,0.00228994,0.00295306,0.00286991,0.00431073,0.00224498,0.00276115,0.00249438,0.00332687,D102
0.0922065,0.0600395,0.053207,0.0260947,0.0375032,0.0238902,0.0784804,0.0348767,0.0375816,0.0220366,0.0545771,0.0259173,0.504852,0.0645684,0.03386,0.0214966,0.0425451,0.0278943,0.472529,0.0847431,0.0493924,0.032273,0.0326892,0.0219174,0.154017,0.0422798,0.127507,0.0407707,0.12429,0.0385907,0.151111,0.0628456,0.107603,0.039647,0.12942,0.0405615,0.0744788,0.0353062,0.0455819,0.0243704,0.0405267,0.0225009,0.0654837,0.0370853,0.0370227,0.0210092,0.0478062,0.0247777,0.0153276,0.0130265,0.0153639,0.010989,0.0144636,0.0108228,0.0134097,0.0108431,0.0138348,0.00961065,0.0153392,0.0115619,0.00278098,0.0041561,0.00232878,0.0029467,0.00226277,0.00293922,0.0027182,0.00393149,0.00219501,0.00269545,0.00239431,0.00321932,D102
0.091501,0.0726247,0.0501204,0.0357835,0.0394044,0.0325848,0.0686767,0.0602363,0.0437763,0.0312217,0.0543079,0.0332801,0.473516,0.0615468,0.0322898,0.0266272,0.0316027,0.0216523,0.42168,0.0793075,0.0375712,0.0236443,0.0382237,0.0269383,0.165732,0.0618321,0.116825,0.0367238,0.132242,0.0323708,0.15321,0.043038,0.131519,0.036112,0.122071,0.0385381,0.0746036,0.0395712,0.044566,0.0240709,0.0458714,0.0237054,0.0744508,0.0368711,0.0452436,0.0238868,0.0466025,0.0247362,0.0152588,0.0129315,0.0152482,0.0106159,0.016018,0.0115895,0.0154696,0.0132112,0.0163626,0.0113633,0.0167542,0.0118776,0.00301885,0.00441092,0.00245481,0.00298552,0.00255546,0.00319071,0.00323342,0.00460799,0.00263321,0.0031363,0.00267607,0.00339357,D102
0.120923,0.0838128,0.0676319,0.0390645,0.0430517,0.0238292,0.0517692,0.0378743,0.0441614,0.0254335,0.0659832,0.0376892,0.475204,0.0572692,0.0295287,0.0211249,0.0373228,0.0280978,0.449855,0.104732,0.0368395,0.0261166,0.034038,0.0204147,0.172618,0.0628881,0.11815,0.0383828,0.140023,0.0318957,0.186837,0.049531,0.136253,0.0358029,0.123252,0.0376221,0.0661335,0.0384592,0.0439134,0.0235477,0.0451918,0.0240035,0.0649102,0.035074,0.0444297,0.0237903,0.0460812,0.0245861,0.0144119,0.0125336,0.0146306,0.0108514,0.015165,0.0114229,0.0138456,0.0121777,0.0153994,0.0111013,0.0157465,0.0120178,0.00261259,0.00395748,0.00234965,0.00300092,0.00249515,0.00328288,0.00297333,0.00452058,0.00252509,0.00317929,0.00252205,0.0033768,D102
0.0729542,0.055654,0.04666,0.0308106,0.0411346,0.0233959,0.0444225,0.0330152,0.0393168,0.0217678,0.0480137,0.0313292,0.452221,0.0747516,0.0288723,0.0157355,0.0239894,0.0138478,0.378225,0.0796367,0.0265141,0.0164116,0.0319791,0.0171291,0.178489,0.0624668,0.123745,0.0333403,0.13175,0.0380652,0.161798,0.0506729,0.135114,0.039933,0.127809,0.0370659,0.0778519,0.0391879,0.0441178,0.0239867,0.0469059,0.0243317,0.0695782,0.0368895,0.0470138,0.0248921,0.0454016,0.0251754,0.0163933,0.0129621,0.0159204,0.0108839,0.0156986,0.0113802,0.0144384,0.0122816,0.0163531,0.0114694,0.0174145,0.0121232,0.00307031,0.00441709,0.00248863,0.00301198,0.00253672,0.00318195,0.00304129,0.00438639,0.00260879,0.0031421,0.00275786,0.00346575,D102
